-1.05E-06,-4.73E-06,1.55E-07
-1.08E-06,-1.36E-06,2.11E-07
-1.13E-06,4.64E-06,2.90E-07
-1.24E-06,1.43E-05,3.92E-07
-1.40E-06,2.87E-05,4.99E-07
-1.64E-06,4.92E-05,5.98E-07
-1.95E-06,7.67E-05,6.59E-07
-2.35E-06,0.000112225,6.53E-07
-2.84E-06,0.0001563,5.86E-07
-3.40E-06,0.000209273,4.61E-07
-4.06E-06,0.000271541,3.39E-07
-4.80E-06,0.000343184,2.91E-07
-5.64E-06,0.000424977,4.72E-07
-6.58E-06,0.000517249,9.62E-07
-7.61E-06,0.000620924,1.88E-06
-8.72E-06,0.00073649,3.31E-06
-9.88E-06,0.000864506,5.27E-06
-1.10E-05,0.00100545,7.83E-06
-1.22E-05,0.001159129,1.09E-05
-1.31E-05,0.001325785,1.45E-05
-1.39E-05,0.001504484,1.85E-05
-1.44E-05,0.001695081,2.30E-05
-1.45E-05,0.001896318,2.79E-05
-1.40E-05,0.002107444,3.31E-05
-1.29E-05,0.002326861,3.88E-05
-1.12E-05,0.002554909,4.50E-05
-8.71E-06,0.002790195,5.17E-05
-5.44E-06,0.003033028,5.89E-05
-1.21E-06,0.00328232,6.67E-05
3.94E-06,0.00353834,7.49E-05
1.02E-05,0.003800377,8.36E-05
1.76E-05,0.004068587,9.28E-05
2.63E-05,0.004342403,0.00010239
3.62E-05,0.004621981,0.000112446
4.75E-05,0.00490689,0.000123031
6.01E-05,0.005197072,0.000134177
7.43E-05,0.005492541,0.000146035
8.99E-05,0.005793212,0.000158673
0.00010698,0.006099347,0.000172258
0.00012563,0.00641097,0.000186889
0.000145837,0.006728437,0.000202667
0.000167634,0.007051882,0.000219689
0.000191055,0.007381597,0.000237939
0.000216134,0.007717771,0.000257481
0.00024293,0.008060521,0.000278222
0.000271493,0.008409975,0.000300113
0.000301895,0.008766048,0.000323033
0.000334208,0.009128677,0.000346847
0.000368502,0.009497566,0.000371479
0.000404853,0.009872379,0.000396799
0.000443313,0.010252594,0.00042281
0.00048395,0.010637842,0.00044942
0.000526808,0.011027526,0.000476621
0.000571946,0.011421188,0.000504345
0.00061942,0.011818172,0.000532495
0.000669289,0.012217944,0.000560996
0.000721623,0.012619809,0.000589668
0.000776484,0.013023171,0.000618409
0.000833946,0.013427322,0.000647051
0.00089407,0.013831624,0.000675479
0.000956904,0.01423539,0.000703645
0.001022512,0.014637774,0.000731457
0.001090911,0.015037679,0.00075902
0.001162092,0.015435269,0.00078632
0.001236058,0.015829232,0.00081346
0.001312808,0.016219757,0.000840401
0.001392346,0.016605353,0.000867146
0.001474674,0.016986294,0.000893653
0.001559813,0.017361172,0.000919728
0.001647758,0.017730346,0.000945402
0.001738535,0.018092576,0.000970389
0.001832149,0.018447557,0.000994626
0.0019286,0.018794464,0.001017963
0.002027891,0.019132664,0.001040287
0.002129991,0.019461226,0.001061538
0.00223489,0.019779395,0.001081612
0.002342531,0.02008616,0.001100482
0.002452887,0.020380685,0.001118058
0.002565898,0.020662028,0.00113423
0.002681515,0.020929107,0.001148852
0.002799668,0.021180734,0.001161585
0.002920368,0.021417102,0.001172467
0.003043541,0.021636829,0.001181053
0.003169194,0.021840082,0.00118741
0.003297221,0.022025153,0.001191054
0.003427628,0.022192361,0.001192116
0.003560252,0.022340089,0.001190324
0.003695105,0.022468695,0.00118578
0.003831949,0.022576889,0.00117846
0.003970834,0.022665059,0.001168382
0.004111495,0.022732446,0.001155608
0.004253869,0.022778925,0.001140138
0.004397787,0.02280435,0.001121919
0.004543122,0.022808485,0.001100934
0.004689727,0.022791388,0.001076993
0.004837461,0.022752931,0.001050024
0.004986176,0.022693349,0.001019763
0.005135724,0.02261268,0.000986079
0.00528592,0.022511486,0.000948753
0.005436543,0.022390207,0.000907582
0.005587226,0.022250311,0.000862375
0.005738006,0.02209162,0.000813172
0.005888384,0.021915976,0.000759789
0.006038405,0.021723116,0.000702242
0.006187372,0.021515135,0.000640265
0.006335391,0.021291653,0.000573865
0.006481697,0.021054681,0.000502603
0.006626416,0.020803934,0.000426523
0.006768754,0.0205417,0.000345041
0.006908839,0.020267714,0.000258273
0.007045828,0.019984879,0.0001657
0.00717992,0.019692535,6.75E-05
0.00731028,0.019393712,-3.66E-05
0.007436704,0.019089114,-0.000146489
0.007558636,0.018780513,-0.000262166
0.00767567,0.018469302,-0.00038364
0.007787301,0.018157054,-0.000510871
0.007893082,0.017845294,-0.000643888
0.007992579,0.017535673,-0.000782894
0.008085342,0.017229773,-0.000927955
0.008170987,0.016929377,-0.001079387
0.008249078,0.016636116,-0.001237308
0.008319208,0.016351741,-0.001401843
0.008380839,0.016078353,-0.001573091
0.008433269,0.015818475,-0.001750802
0.008476595,0.015571758,-0.001934967
0.008509942,0.015341352,-0.002125107
0.008533417,0.015126917,-0.002321274
0.008545926,0.01493255,-0.002522843
0.008547669,0.014757513,-0.002729978
0.008537592,0.014605763,-0.00294231
0.008515903,0.014476432,-0.00315998
0.008481652,0.014372617,-0.003382962
0.008435022,0.014293542,-0.003611294
0.008375146,0.014241192,-0.003845093
0.008302179,0.014215013,-0.004084297
0.008215275,0.014216018,-0.004328829
0.008114572,0.014243882,-0.004578599
0.007999187,0.014298917,-0.004833058
0.007869265,0.01438097,-0.005092195
0.00772387,0.01448989,-0.005354963
